full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_name,is_weekend,is_holiday
2017-05-05,2017,Q2,5,May,18,5,Friday,False,False
2017-05-06,2017,Q2,5,May,18,6,Saturday,True,False
2017-05-07,2017,Q2,5,May,18,7,Sunday,True,False
2017-05-08,2017,Q2,5,May,19,8,Monday,False,False
2017-05-09,2017,Q2,5,May,19,9,Tuesday,False,False
2017-05-10,2017,Q2,5,May,19,10,Wednesday,False,False
2017-05-11,2017,Q2,5,May,19,11,Thursday,False,False
2017-05-12,2017,Q2,5,May,19,12,Friday,False,False
2017-05-13,2017,Q2,5,May,19,13,Saturday,True,False
2017-05-14,2017,Q2,5,May,19,14,Sunday,True,False
2017-05-15,2017,Q2,5,May,20,15,Monday,False,False
2017-05-16,2017,Q2,5,May,20,16,Tuesday,False,False
2017-05-17,2017,Q2,5,May,20,17,Wednesday,False,False
2017-05-18,2017,Q2,5,May,20,18,Thursday,False,False
2017-05-19,2017,Q2,5,May,20,19,Friday,False,False
2017-05-20,2017,Q2,5,May,20,20,Saturday,True,False
2017-05-21,2017,Q2,5,May,20,21,Sunday,True,False
2017-05-22,2017,Q2,5,May,21,22,Monday,False,False
2017-05-23,2017,Q2,5,May,21,23,Tuesday,False,False
2017-05-24,2017,Q2,5,May,21,24,Wednesday,False,False
2017-05-25,2017,Q2,5,May,21,25,Thursday,False,False
2017-05-26,2017,Q2,5,May,21,26,Friday,False,False
2017-05-27,2017,Q2,5,May,21,27,Saturday,True,False
2017-05-28,2017,Q2,5,May,21,28,Sunday,True,False
2017-05-29,2017,Q2,5,May,22,29,Monday,False,False
2017-05-30,2017,Q2,5,May,22,30,Tuesday,False,False
2017-05-31,2017,Q2,5,May,22,31,Wednesday,False,False
2017-06-01,2017,Q2,6,June,22,1,Thursday,False,False
2017-06-02,2017,Q2,6,June,22,2,Friday,False,False
2017-06-03,2017,Q2,6,June,22,3,Saturday,True,False
2017-06-04,2017,Q2,6,June,22,4,Sunday,True,False
2017-06-05,2017,Q2,6,June,23,5,Monday,False,False
2017-06-06,2017,Q2,6,June,23,6,Tuesday,False,False
2017-06-07,2017,Q2,6,June,23,7,Wednesday,False,False
2017-06-08,2017,Q2,6,June,23,8,Thursday,False,False
2017-06-09,2017,Q2,6,June,23,9,Friday,False,False
2017-06-10,2017,Q2,6,June,23,10,Saturday,True,False
2017-06-11,2017,Q2,6,June,23,11,Sunday,True,False
2017-06-12,2017,Q2,6,June,24,12,Monday,False,False
2017-06-13,2017,Q2,6,June,24,13,Tuesday,False,False
2017-06-14,2017,Q2,6,June,24,14,Wednesday,False,False
2017-06-15,2017,Q2,6,June,24,15,Thursday,False,False
2017-06-16,2017,Q2,6,June,24,16,Friday,False,False
2017-06-17,2017,Q2,6,June,24,17,Saturday,True,False
2017-06-18,2017,Q2,6,June,24,18,Sunday,True,False
2017-06-19,2017,Q2,6,June,25,19,Monday,False,False
2017-06-20,2017,Q2,6,June,25,20,Tuesday,False,False
2017-06-21,2017,Q2,6,June,25,21,Wednesday,False,False
2017-06-22,2017,Q2,6,June,25,22,Thursday,False,False
2017-06-23,2017,Q2,6,June,25,23,Friday,False,False
2017-06-24,2017,Q2,6,June,25,24,Saturday,True,False
2017-06-25,2017,Q2,6,June,25,25,Sunday,True,False
2017-06-26,2017,Q2,6,June,26,26,Monday,False,False
